,Date,Wind_energy
450,2012-03-26,28935.0
451,2012-03-27,206512.0
452,2012-03-28,395085.0
453,2012-03-29,720096.0
454,2012-03-30,665493.0
455,2012-03-31,773119.0
456,2012-04-01,454667.0
457,2012-04-02,453659.0
458,2012-04-03,63751.0
459,2012-04-04,187928.0
460,2012-04-05,69533.0
461,2012-04-06,72628.0
462,2012-04-07,392986.0
463,2012-04-08,103353.0
464,2012-04-09,338730.0
465,2012-04-10,342901.0
466,2012-04-11,121429.0
467,2012-04-12,31369.0
468,2012-04-13,66023.0
469,2012-04-14,50292.0
470,2012-04-15,219104.0
471,2012-04-16,375273.0
472,2012-04-17,150216.0
473,2012-04-18,218002.0
474,2012-04-19,116791.0
475,2012-04-20,54378.0
476,2012-04-21,155106.0
477,2012-04-22,131777.0
478,2012-04-23,129475.0
479,2012-04-24,132071.0
480,2012-04-25,229395.0
481,2012-04-26,335186.0
482,2012-04-27,104563.0
483,2012-04-28,120307.0
484,2012-04-29,211071.0
485,2012-04-30,188179.0
486,2012-05-01,163037.0
487,2012-05-02,141089.0
488,2012-05-03,72869.0
489,2012-05-04,103667.0
490,2012-05-05,70503.0
491,2012-05-06,31839.0
492,2012-05-07,7513.0
493,2012-05-08,100485.0
494,2012-05-09,200759.0
495,2012-05-10,200054.0
496,2012-05-11,331478.0
497,2012-05-12,457200.0
498,2012-05-13,96800.0
499,2012-05-14,112225.0
500,2012-05-15,190988.0
501,2012-05-16,297510.0
502,2012-05-17,217502.0
503,2012-05-18,192388.0
504,2012-05-19,87228.0
505,2012-05-20,150117.0
506,2012-05-21,232594.0
507,2012-05-22,146005.0
508,2012-05-23,170786.0
509,2012-05-24,257678.0
510,2012-05-25,148633.0
511,2012-05-26,68638.0
512,2012-05-27,29579.0
513,2012-05-28,44332.0
514,2012-05-29,248396.0
515,2012-05-30,115416.0
516,2012-05-31,50922.0
517,2012-06-01,440451.0
518,2012-06-02,288880.0
519,2012-06-03,52975.0
520,2012-06-04,40792.0
521,2012-06-05,184568.0
522,2012-06-06,61512.0
523,2012-06-07,41558.0
524,2012-06-08,206871.0
525,2012-06-09,240717.0
526,2012-06-10,53163.0
527,2012-06-11,12311.0
528,2012-06-12,33051.0
529,2012-06-13,106389.0
530,2012-06-14,30558.0
531,2012-06-15,80587.0
532,2012-06-16,143041.0
533,2012-06-17,159666.0
534,2012-06-18,260965.0
535,2012-06-19,50107.0
536,2012-06-20,87413.0
537,2012-06-21,68995.0
538,2012-06-22,144296.0
539,2012-06-23,155170.0
540,2012-06-24,240593.0
541,2012-06-25,505171.0
542,2012-06-26,409371.0
543,2012-06-27,102673.0
544,2012-06-28,31180.0
545,2012-06-29,115355.0
546,2012-06-30,29317.0
547,2012-07-01,108278.0
548,2012-07-02,47741.0
549,2012-07-03,20997.0
550,2012-07-04,24148.0
551,2012-07-05,72754.0
552,2012-07-06,33056.0
553,2012-07-07,19304.0
554,2012-07-08,81040.0
555,2012-07-09,245020.0
556,2012-07-10,93819.0
557,2012-07-11,135417.0
558,2012-07-12,260475.0
559,2012-07-13,156527.0
560,2012-07-14,286170.0
561,2012-07-15,148362.0
562,2012-07-16,258734.0
563,2012-07-17,249988.0
564,2012-07-18,191981.0
565,2012-07-19,367747.0
566,2012-07-20,259451.0
567,2012-07-21,131890.0
568,2012-07-22,61294.0
569,2012-07-23,43319.0
570,2012-07-24,110301.0
571,2012-07-25,47079.0
572,2012-07-26,43741.0
573,2012-07-27,59685.0
574,2012-07-28,139934.0
575,2012-07-29,88399.0
576,2012-07-30,110421.0
577,2012-07-31,41727.0
578,2012-08-01,50392.0
579,2012-08-02,146116.0
580,2012-08-03,24725.0
581,2012-08-04,20942.0
582,2012-08-05,22485.0
583,2012-08-06,173225.0
584,2012-08-07,351538.0
585,2012-08-08,163537.0
586,2012-08-09,83182.0
587,2012-08-10,90373.0
588,2012-08-11,47966.0
589,2012-08-12,84673.0
590,2012-08-13,96894.0
591,2012-08-14,62549.0
592,2012-08-15,63379.0
593,2012-08-16,49034.0
594,2012-08-17,9164.0
595,2012-08-18,72964.0
596,2012-08-19,103844.0
597,2012-08-20,122901.0
598,2012-08-21,41175.0
599,2012-08-22,219226.0
600,2012-08-23,96200.0
601,2012-08-24,30592.0
602,2012-08-25,115897.0
603,2012-08-26,371699.0
604,2012-08-27,160131.0
605,2012-08-28,101670.0
606,2012-08-29,45503.0
607,2012-08-30,80487.0
608,2012-08-31,39781.0
609,2012-09-01,54118.0
610,2012-09-02,21693.0
611,2012-09-03,19632.0
612,2012-09-04,20350.0
613,2012-09-05,81023.0
614,2012-09-06,165587.0
615,2012-09-07,278952.0
616,2012-09-08,126692.0
617,2012-09-09,86110.0
618,2012-09-10,136460.0
619,2012-09-11,161759.0
620,2012-09-12,70587.0
621,2012-09-13,44990.0
622,2012-09-14,404308.0
623,2012-09-15,284556.0
624,2012-09-16,100879.0
625,2012-09-17,110039.0
626,2012-09-18,139027.0
627,2012-09-19,192225.0
628,2012-09-20,132311.0
629,2012-09-21,134576.0
630,2012-09-22,339752.0
631,2012-09-23,117941.0
632,2012-09-24,292132.0
633,2012-09-25,232371.0
634,2012-09-26,93750.0
635,2012-09-27,218391.0
636,2012-09-28,227190.0
637,2012-09-29,217347.0
638,2012-09-30,169378.0
639,2012-10-01,59831.0
640,2012-10-02,103913.0
641,2012-10-03,256643.0
642,2012-10-04,443373.0
643,2012-10-05,527761.0
644,2012-10-06,330221.0
645,2012-10-07,278656.0
646,2012-10-08,237468.0
647,2012-10-09,343483.0
648,2012-10-10,156050.0
649,2012-10-11,53122.0
650,2012-10-12,189434.0
651,2012-10-13,269104.0
652,2012-10-14,205616.0
653,2012-10-15,199937.0
654,2012-10-16,204890.0
655,2012-10-17,251829.0
656,2012-10-18,250257.0
657,2012-10-19,146307.0
658,2012-10-20,42722.0
659,2012-10-21,57347.0
660,2012-10-22,44035.0
661,2012-10-23,12660.0
662,2012-10-24,1832.0
663,2012-10-25,231892.0
664,2012-10-26,139702.0
665,2012-10-27,185799.0
