,Date,Shipping_price,Gas_consumtion
165,2010-06-18,"2 694,000","1693,67786"
166,2010-06-19,"2 601,000","1801,273684"
167,2010-06-20,"2 601,000","1891,845532"
168,2010-06-21,"2 601,000","2002,18747"
169,2010-06-22,"2 547,000","1921,370117"
170,2010-06-23,"2 515,000","1723,747241"
171,2010-06-24,"2 502,000","1558,804063"
172,2010-06-25,"2 501,000","1471,936899"
173,2010-06-26,"2 482,000","1426,613711"
174,2010-06-27,"2 482,000","1391,178378"
175,2010-06-28,"2 482,000","1353,592754"
176,2010-06-29,"2 447,000","1322,662057"
177,2010-06-30,"2 406,000","1322,854938"
178,2010-07-01,"2 351,000","1291,507411"
179,2010-07-02,"2 280,000","1266,471561"
180,2010-07-03,"2 216,000","1259,110124"
181,2010-07-04,"2 216,000","1260,153901"
182,2010-07-05,"2 216,000","1304,808704"
183,2010-07-06,"2 127,000","1404,867537"
184,2010-07-07,"2 018,000","1382,788029"
185,2010-07-08,"1 940,000","1338,65434"
186,2010-07-09,"1 902,000","1301,277115"
187,2010-07-10,"1 840,000","1260,042927"
188,2010-07-11,"1 840,000","1247,368935"
189,2010-07-12,"1 840,000","1248,78223"
190,2010-07-13,"1 790,000","1249,354667"
191,2010-07-14,"1 709,000","1247,204661"
192,2010-07-15,"1 700,000","1274,988498"
193,2010-07-16,"1 720,000","1272,557607"
194,2010-07-17,"1 732,000","1319,338705"
195,2010-07-18,"1 732,000","1367,433274"
196,2010-07-19,"1 732,000","1356,046206"
197,2010-07-20,"1 761,000","1313,978625"
198,2010-07-21,"1 781,000","1273,372003"
199,2010-07-22,"1 801,000","1276,010555"
200,2010-07-23,"1 826,000","1343,523284"
201,2010-07-24,"1 841,000","1437,207774"
202,2010-07-25,"1 841,000","1470,251599"
203,2010-07-26,"1 841,000","1498,864965"
204,2010-07-27,"1 869,000","1457,779731"
205,2010-07-28,"1 901,000","1439,056693"
206,2010-07-29,"1 942,000","1493,455053"
207,2010-07-30,"1 967,000","1501,111291"
208,2010-07-31,"1 977,000","1414,377527"
209,2010-08-01,"1 977,000","1349,702542"
210,2010-08-02,"1 977,000","1358,697236"
211,2010-08-03,"1 964,000","1421,406328"
212,2010-08-04,"1 957,000","1415,462096"
213,2010-08-05,"1 978,000","1492,687786"
214,2010-08-06,"2 030,000","1519,968299"
215,2010-08-07,"2 114,000","1421,288685"
216,2010-08-08,"2 114,000","1412,671146"
217,2010-08-09,"2 114,000","1401,963325"
218,2010-08-10,"2 212,000","1325,852751"
219,2010-08-11,"2 378,000","1329,459902"
220,2010-08-12,"2 437,000","1365,549782"
221,2010-08-13,"2 468,000","1394,116022"
222,2010-08-14,"2 488,000","1367,130573"
223,2010-08-15,"2 488,000","1372,909174"
224,2010-08-16,"2 488,000","1479,512052"
225,2010-08-17,"2 515,000","1501,457492"
226,2010-08-18,"2 558,000","1500,357903"
227,2010-08-19,"2 644,000","1504,192164"
228,2010-08-20,"2 756,000","1389,107933"
229,2010-08-21,"2 841,000","1292,975797"
230,2010-08-22,"2 841,000","1265,763829"
231,2010-08-23,"2 841,000","1242,409437"
232,2010-08-24,"2 861,000","1357,004498"
233,2010-08-25,"2 773,000","1429,542629"
234,2010-08-26,"2 703,000","1414,380813"
235,2010-08-27,"2 712,000","1483,928345"
236,2010-08-28,"2 713,000","1610,590656"
237,2010-08-29,"2 713,000","1753,486744"
238,2010-08-30,"2 713,000","1963,21889"
239,2010-08-31,"2 713,000","1973,513992"
240,2010-09-01,"2 741,000","1915,582"
241,2010-09-02,"2 835,000","1869,220946"
242,2010-09-03,"2 876,000","1808,650702"
243,2010-09-04,"2 881,000","1780,606012"
244,2010-09-05,"2 881,000","1828,96956"
245,2010-09-06,"2 881,000","1873,873122"
246,2010-09-07,"2 918,000","1853,624949"
247,2010-09-08,"2 975,000","1780,008402"
248,2010-09-09,"2 988,000","1761,751931"
249,2010-09-10,"2 995,000","1707,11109"
250,2010-09-11,"2 976,000","1579,247747"
251,2010-09-12,"2 976,000","1573,32833"
252,2010-09-13,"2 976,000","1716,923347"
253,2010-09-14,"2 940,000","1709,632376"
254,2010-09-15,"2 840,000","1795,460551"
255,2010-09-16,"2 737,000","1923,800633"
256,2010-09-17,"2 676,000","2034,364267"
257,2010-09-18,"2 628,000","2068,821842"
258,2010-09-19,"2 628,000","2094,85473"
259,2010-09-20,"2 628,000","2080,632061"
260,2010-09-21,"2 562,000","2016,953719"
261,2010-09-22,"2 486,000","1892,701963"
262,2010-09-23,"2 461,000","1734,407627"
263,2010-09-24,"2 444,000","1746,896625"
264,2010-09-25,"2 451,000","1907,650203"
265,2010-09-26,"2 451,000","2114,456422"
266,2010-09-27,"2 451,000","2299,12012"
267,2010-09-28,"2 504,000","2434,080506"
268,2010-09-29,"2 468,000","2497,599368"
269,2010-09-30,"2 446,000","2470,145419"
270,2010-10-01,"2 452,000","2439,862967"
271,2010-10-02,"2 478,000","2194,814987"
272,2010-10-03,"2 478,000","1810,723519"
273,2010-10-04,"2 478,000","1912,669623"
274,2010-10-05,"2 569,000","1856,152228"
275,2010-10-06,"2 639,000","1808,432351"
276,2010-10-07,"2 662,000","1842,138107"
277,2010-10-08,"2 696,000","1953,438886"
278,2010-10-09,"2 695,000","2044,031462"
279,2010-10-10,"2 695,000","2270,791599"
280,2010-10-11,"2 695,000","2639,599744"
281,2010-10-12,"2 719,000","2797,363094"
282,2010-10-13,"2 748,000","2885,531717"
283,2010-10-14,"2 769,000","2831,790113"
284,2010-10-15,"2 762,000","2775,703847"
285,2010-10-16,"2 756,000","2748,261389"
286,2010-10-17,"2 756,000","2896,155902"
287,2010-10-18,"2 756,000","3164,804787"
288,2010-10-19,"2 744,000","3157,746794"
289,2010-10-20,"2 729,000","3244,94301"
290,2010-10-21,"2 720,000","3331,914182"
291,2010-10-22,"2 727,000","3269,466092"
292,2010-10-23,"2 748,000","2947,653139"
293,2010-10-24,"2 748,000","2957,87999"
294,2010-10-25,"2 748,000","3319,794846"
