"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"E";"2020-04-27";"188.2954";"77.54";"0.14";"871";"21.62";"344.47";"22.3";"242.8412";"3864.02";"6573.74"
"E";"2020-04-26";"187.9624";"77.41";"0.27";"871";"21.58";"641.75";"10.4";"242.7994";"3863.35";"6572.77"
"E";"2020-04-25";"187.3051";"77.14";"0.31";"871";"21.5";"747.69";"5.7";"242.7994";"3863.35";"6572.77"
"E";"2020-04-24";"186.5551";"76.84";"0.25";"871";"21.42";"608.18";"4.3";"242.7994";"3863.35";"6572.77"
"E";"2020-04-23";"185.936";"76.58";"0.19";"871";"21.35";"456.13";"4.9";"242.7994";"3863.35";"6572.77"
"E";"2020-04-22";"185.474";"76.39";"0.27";"871";"21.29";"655.2";"17.2";"242.7994";"3863.35";"6572.77"
"E";"2020-04-21";"184.8176";"76.12";"0.27";"871";"21.22";"667.78";"8.1";"242.7994";"3863.35";"6572.77"
"E";"2020-04-20";"184.1597";"75.85";"0.24";"871";"21.14";"589.53";"26.2";"242.7994";"3863.35";"6572.77"
"E";"2020-04-19";"183.5781";"75.62";"0.41";"871";"21.08";"986.87";"2.5";"242.7576";"3862.69";"6571.8"
"E";"2020-04-18";"182.5895";"75.21";"0.42";"871";"20.96";"1052.67";"18.8";"242.7576";"3862.69";"6571.8"
"E";"2020-04-17";"181.5594";"74.79";"0.18";"871";"20.84";"430.66";"8.2";"242.7576";"3862.69";"6571.8"
"E";"2020-04-16";"181.134";"74.62";"0.15";"871";"20.8";"371.37";"5.5";"242.7576";"3862.69";"6571.8"
"E";"2020-04-15";"180.76";"74.46";"0.03";"871";"20.75";"152.24";"93.9";"242.7576";"3862.69";"6571.8"
"E";"2020-04-14";"180.6925";"74.43";"0";"871";"20.75";"237.23";"145.4";"242.7576";"3862.69";"6571.8"
"E";"2020-04-13";"180.6872";"74.43";"0.27";"871";"20.74";"667.08";"19";"242.7576";"3862.69";"6571.8"
"E";"2020-04-12";"180.0289";"74.18";"0.39";"871";"20.67";"943.73";"11.3";"242.693";"3861.66";"6570.29"
"E";"2020-04-11";"179.0781";"73.79";"0.33";"871";"20.56";"796.62";"15.8";"242.693";"3861.66";"6570.29"
"E";"2020-04-10";"178.2814";"73.46";"0.28";"871";"20.47";"685.18";"17.6";"242.693";"3861.66";"6570.29"
"E";"2020-04-09";"177.5965";"73.18";"0.22";"871";"20.39";"509.38";"7.4";"242.693";"3861.66";"6570.29"
"E";"2020-04-08";"177.0743";"72.96";"0.17";"871";"20.33";"427.05";"8.4";"242.693";"3861.66";"6570.29"
"E";"2020-04-07";"176.6542";"72.79";"0.16";"871";"20.28";"415.59";"36.9";"242.693";"3861.66";"6570.29"
"E";"2020-04-06";"176.2742";"72.63";"0.16";"871";"20.24";"398.39";"8";"242.693";"3861.66";"6570.29"
"E";"2020-04-05";"175.8801";"72.47";"0.16";"871";"20.19";"429.18";"31.3";"242.7082";"3861.9";"6570.65"
"E";"2020-04-04";"175.4809";"72.3";"0.07";"871";"20.15";"256.07";"93.3";"242.7082";"3861.9";"6570.65"
"E";"2020-04-03";"175.3212";"72.24";"-0.11";"871";"20.13";"134.23";"391.5";"242.7082";"3861.9";"6570.65"
"E";"2020-04-02";"175.5914";"72.35";"0.04";"871";"20.16";"161.25";"559.9";"242.7082";"3861.9";"6570.65"
"E";"2020-04-01";"175.4996";"72.51";"0.47";"871";"20.15";"423.99";"950.2";"242.0402";"3850.52";"6543.53"
"E";"2020-03-31";"174.3505";"71.55";"-0.64";"871";"20.02";"67.57";"1553.8";"243.6784";"3850.68";"6502.63"
"E";"2020-03-30";"175.9173";"72.1";"-0.38";"871";"20.2";"17.87";"1046.2";"243.9825";"3809.99";"6516.19"
"E";"2020-03-29";"176.8533";"72.48";"-0.07";"871";"20.3";"181.44";"352.9";"243.9962";"3810.21";"6516.5"
"E";"2020-03-28";"177.029";"72.55";"0.05";"871";"20.32";"203.22";"92.5";"243.9962";"3688.88";"6314.9"
"E";"2020-03-27";"176.9183";"72.51";"-0.15";"871";"20.31";"65.91";"420.9";"243.9962";"3810.21";"6516.5"
"E";"2020-03-26";"177.2776";"72.66";"-0.33";"871";"20.35";"19.8";"809.1";"243.9962";"3810.21";"6516.5"
"E";"2020-03-25";"178.0855";"72.99";"-0.36";"871";"20.45";"50.27";"910.3";"243.9962";"3810.21";"6516.5"
"E";"2020-03-24";"178.967";"73.35";"-0.32";"871";"20.55";"45.45";"810.2";"243.9958";"3810.21";"6516.5"
"E";"2020-03-23";"179.7492";"73.67";"-0.4";"871";"20.64";"74.07";"996.2";"243.9958";"3810.21";"6516.5"
"E";"2020-03-22";"180.7247";"74.07";"-0.16";"871";"20.75";"92.91";"462.2";"243.9918";"3810.15";"6516.41"
"E";"2020-03-21";"181.1101";"74.23";"-0.15";"871";"20.79";"97.15";"454.5";"243.9918";"3810.15";"6516.41"
"E";"2020-03-20";"181.4792";"74.38";"-0.15";"871";"20.84";"55.42";"422.8";"243.9918";"3810.15";"6516.41"
"E";"2020-03-19";"181.857";"74.53";"-0.16";"871";"20.88";"39.01";"415";"243.9918";"3810.15";"6516.41"
"E";"2020-03-18";"182.2502";"74.7";"-0.07";"871";"20.92";"50.47";"220.6";"243.9918";"3810.15";"6516.41"
"E";"2020-03-17";"182.4309";"74.77";"-0.1";"871";"20.94";"109.61";"350.6";"243.9918";"3810.15";"6516.41"
"E";"2020-03-16";"182.6825";"74.87";"-0.11";"871";"20.97";"116.27";"375.7";"243.9918";"3810.15";"6516.41"
"E";"2020-03-15";"182.9525";"74.99";"-0.06";"871";"21";"166.89";"316.1";"243.9643";"3809.72";"6515.79"
"E";"2020-03-14";"183.0987";"75.05";"-0.19";"871";"21.02";"65.7";"516.8";"243.9643";"3809.72";"6515.79"
"E";"2020-03-13";"183.5621";"75.24";"-0.17";"871";"21.07";"13.08";"413.7";"243.9643";"3809.72";"6515.79"
"E";"2020-03-12";"183.9665";"75.41";"-0.03";"871";"21.12";"125.57";"199.4";"243.9643";"3809.72";"6515.79"
"E";"2020-03-11";"184.0412";"75.44";"-0.05";"871";"21.13";"143.02";"257";"243.9643";"3809.72";"6515.79"
"E";"2020-03-10";"184.1657";"75.49";"-0.15";"871";"21.14";"70.02";"414.2";"243.9643";"3809.72";"6515.79"
"E";"2020-03-09";"184.5253";"75.64";"-0.24";"871";"21.19";"12.82";"582.5";"243.9643";"3809.72";"6515.79"
"E";"2020-03-08";"185.1054";"75.87";"-0.04";"871";"21.25";"126.78";"213.4";"243.984";"3810.02";"6516.23"
"E";"2020-03-07";"185.204";"75.91";"-0.18";"871";"21.26";"12.74";"426.2";"243.984";"3810.02";"6516.23"
"E";"2020-03-06";"185.6311";"76.08";"-0.23";"871";"21.31";"73.67";"611.9";"243.984";"3810.02";"6516.23"
"E";"2020-03-05";"186.188";"76.31";"-0.39";"871";"21.38";"25.52";"951.4";"243.984";"3810.02";"6516.23"
"E";"2020-03-04";"187.1315";"76.7";"-0.32";"871";"21.48";"29.03";"779.6";"243.984";"3810.02";"6516.23"
"E";"2020-03-03";"187.9003";"77.01";"-0.26";"871";"21.57";"40.2";"659.1";"243.984";"3810.02";"6516.23"
"E";"2020-03-02";"188.5378";"77.27";"-0.57";"871";"21.65";"13.88";"1208.2";"243.984";"3810.02";"6516.23"
"E";"2020-03-01";"189.9332";"77.85";"-0.16";"871";"21.81";"92.26";"492.5";"243.9624";"3809.69";"6515.75"
"E";"2020-02-29";"190.3342";"78.02";"-0.05";"871";"21.85";"141.18";"260.5";"243.9624";"3809.69";"6515.75"
"E";"2020-02-28";"190.459";"78.07";"-0.56";"871";"21.87";"55.99";"1391.7";"243.9624";"3809.69";"6515.75"
"E";"2020-02-27";"191.8365";"78.63";"-0.63";"871";"22.02";"39.7";"1572.1";"243.9624";"3809.69";"6515.75"
"E";"2020-02-26";"193.3658";"79.26";"-0.44";"871";"22.2";"13.46";"1076.1";"243.9624";"3809.69";"6515.75"
"E";"2020-02-25";"194.4325";"79.7";"-0.19";"871";"22.32";"46.51";"489";"243.9624";"3809.69";"6515.75"
"E";"2020-02-24";"194.8923";"79.89";"-0.23";"871";"22.38";"19.33";"532.4";"243.9624";"3809.69";"6515.75"
"E";"2020-02-23";"195.4633";"80.12";"-0.03";"871";"22.44";"119.58";"177.7";"243.9604";"3809.66";"6515.7"
"E";"2020-02-22";"195.5363";"80.15";"-0.07";"871";"22.45";"74.27";"226.6";"243.9604";"3809.66";"6515.7"
"E";"2020-02-21";"195.7035";"80.22";"-0.2";"871";"22.47";"26.45";"500.7";"243.9604";"3809.66";"6515.7"
"E";"2020-02-20";"196.1934";"80.42";"-0.21";"871";"22.53";"38.93";"529.4";"243.9604";"3809.66";"6515.7"
"E";"2020-02-19";"196.6966";"80.63";"-0.2";"871";"22.58";"23.5";"521.2";"243.9604";"3809.66";"6515.7"
"E";"2020-02-18";"197.1935";"80.83";"-0.24";"871";"22.64";"45.53";"637.8";"243.9604";"3809.66";"6515.7"
"E";"2020-02-17";"197.7858";"81.07";"-0.18";"871";"22.71";"21.75";"454.2";"243.9604";"3809.66";"6515.7"
"E";"2020-02-16";"198.2184";"81.25";"0.02";"871";"22.76";"225.41";"185.3";"243.9604";"3809.66";"6515.7"
"E";"2020-02-15";"198.1789";"81.23";"-0.06";"871";"22.75";"187.45";"325.2";"243.9604";"3809.66";"6515.7"
"E";"2020-02-14";"198.3167";"81.29";"-0.26";"871";"22.77";"54.77";"679";"243.9604";"3809.66";"6515.7"
"E";"2020-02-13";"198.9453";"81.55";"-0.4";"871";"22.84";"50.38";"1014.7";"243.9604";"3809.66";"6515.7"
"E";"2020-02-12";"199.9179";"81.95";"-0.4";"871";"22.95";"19.31";"942";"243.9604";"3809.66";"6515.7"
"E";"2020-02-11";"200.8985";"82.35";"-0.31";"871";"23.07";"16.74";"822.8";"243.9604";"3809.66";"6515.7"
"E";"2020-02-10";"201.6633";"82.66";"-0.21";"871";"23.15";"30.45";"541.4";"243.9604";"3809.66";"6515.7"
"E";"2020-02-09";"202.1757";"82.87";"-0.13";"871";"23.21";"81.28";"400.7";"243.9604";"3809.66";"6515.7"
"E";"2020-02-08";"202.4951";"83";"-0.36";"871";"23.25";"15.82";"791.5";"243.9604";"3809.66";"6515.7"
"E";"2020-02-07";"203.3715";"83.36";"-0.46";"871";"23.35";"16.98";"1175.3";"243.9604";"3809.66";"6515.7"
"E";"2020-02-06";"204.4913";"83.82";"-0.76";"871";"23.48";"9.85";"1804.1";"243.9604";"3856.46";"6515.7"
"E";"2020-02-05";"206.3417";"84.58";"-0.5";"871";"23.69";"22.09";"1253.3";"243.9604";"3809.66";"6515.7"
"E";"2020-02-04";"207.5527";"85.08";"-0.39";"871";"23.83";"13.76";"956.8";"243.9604";"3809.66";"6515.7"
"E";"2020-02-03";"208.4992";"85.46";"-0.3";"871";"23.94";"18.02";"759.6";"243.9604";"3809.66";"6515.7"
"E";"2020-02-02";"209.2409";"85.77";"-0.07";"871";"24.02";"73.76";"250.5";"243.9604";"3809.66";"6515.7"
"E";"2020-02-01";"209.4176";"85.84";"-0.04";"871";"24.04";"84.56";"172.7";"243.9604";"3809.66";"6515.7"
"E";"2020-01-31";"209.5057";"85.88";"-0.15";"871";"24.05";"91.15";"466";"243.9604";"3809.66";"6543.5"
"E";"2020-01-30";"209.8819";"86.03";"-0.47";"871";"24.1";"42.74";"1146.9";"243.9604";"3809.66";"6543.5"
"E";"2020-01-29";"211.0342";"86.5";"-0.52";"871";"24.23";"41.81";"1331.3";"243.9604";"3809.66";"6543.5"
"E";"2020-01-28";"212.3077";"87.03";"-0.57";"871";"24.38";"41.8";"1401.2";"243.9604";"3809.66";"6543.5"
"E";"2020-01-27";"213.6952";"87.59";"-0.38";"871";"24.53";"68.94";"970.2";"243.9604";"3809.66";"6543.5"
"E";"2020-01-26";"214.6279";"87.98";"-0.39";"871";"24.64";"51.74";"960.6";"243.9565";"3809.6";"6543.41"
"E";"2020-01-25";"215.5725";"88.37";"-0.49";"871";"24.75";"33.63";"1209.1";"243.9565";"3809.6";"6543.41"
"E";"2020-01-24";"216.7664";"88.85";"-0.71";"871";"24.89";"22.52";"1736.2";"243.9565";"3809.6";"6543.41"
"E";"2020-01-23";"218.4903";"89.56";"-0.7";"871";"25.08";"28.57";"1694";"243.9565";"3809.6";"6543.41"
"E";"2020-01-22";"220.1965";"90.27";"-0.64";"871";"25.28";"31";"1560.5";"243.9284";"3809.38";"6542.98"
"E";"2020-01-21";"221.7694";"90.91";"-0.7";"871";"25.46";"15.51";"1756.8";"243.9565";"3809.6";"6543.41"
"E";"2020-01-20";"223.4698";"91.6";"-0.66";"871";"25.66";"12.88";"1586.9";"243.9565";"3809.6";"6543.41"
"E";"2020-01-19";"225.0679";"92.26";"-0.38";"871";"25.84";"4.64";"915.3";"243.9525";"3809.54";"6543.32"
"E";"2020-01-18";"225.993";"92.64";"-0.27";"871";"25.95";"20.6";"635.2";"243.9525";"3809.54";"6543.32"
"E";"2020-01-17";"226.6508";"92.91";"-0.27";"871";"26.02";"15.4";"696.6";"243.9525";"3809.54";"6543.32"
"E";"2020-01-16";"227.3204";"93.18";"-0.23";"871";"26.1";"36.73";"598.5";"243.9525";"3809.54";"6543.32"
"E";"2020-01-15";"227.8821";"93.41";"-0.21";"871";"26.16";"12.97";"513";"243.9525";"3809.54";"6543.32"
"E";"2020-01-14";"228.403";"93.63";"-0.19";"871";"26.22";"15.46";"452.9";"243.9525";"3809.54";"6543.32"
"E";"2020-01-13";"228.8563";"93.81";"-0.24";"871";"26.28";"17.22";"600.9";"243.9525";"3809.54";"6543.32"
"E";"2020-01-12";"229.4417";"94.06";"-0.25";"871";"26.34";"22.72";"628.4";"243.925";"3809.12";"6542.7"
"E";"2020-01-11";"230.05";"94.31";"-0.2";"871";"26.41";"25.24";"519.8";"243.925";"3809.12";"6542.7"
"E";"2020-01-10";"230.5446";"94.51";"-0.14";"871";"26.47";"11.6";"354.3";"243.925";"3809.12";"6542.7"
"E";"2020-01-09";"230.8977";"94.66";"-0.17";"871";"26.51";"34.99";"439.9";"243.925";"3809.12";"6542.7"
"E";"2020-01-08";"231.313";"94.83";"-0.38";"871";"26.56";"17.46";"932.1";"243.925";"3809.12";"6542.7"
"E";"2020-01-07";"232.2471";"95.21";"-0.38";"871";"26.66";"27.5";"962.7";"243.925";"3809.12";"6542.7"
"E";"2020-01-06";"233.1741";"95.59";"-0.31";"871";"26.77";"11.31";"772.7";"243.9271";"3809.12";"6542.7"
"E";"2020-01-05";"233.9286";"95.9";"-0.18";"871";"26.86";"29.38";"416.9";"243.9389";"3809.3";"6542.97"
"E";"2020-01-04";"234.3694";"96.08";"-0.15";"871";"26.91";"42.81";"394.4";"243.9389";"3809.3";"6542.97"
"E";"2020-01-03";"234.7389";"96.23";"-0.25";"871";"26.95";"25.02";"609.9";"243.9389";"3809.3";"6542.97"
"E";"2020-01-02";"235.3522";"96.48";"-0.38";"871";"27.02";"23.25";"913.9";"243.9389";"3809.3";"6542.97"
"E";"2020-01-01";"236.2772";"96.86";"0";"871";"27.13";"19.18";"551.1";"243.9389";"3809.3";"6542.97"
"E";"2019-12-31";"236.8393";"97.09";"-0.09";"893";"26.52";"130.1";"342.5";"243.9389";"3809.3";"6542.97"
"E";"2019-12-30";"237.0619";"97.18";"-0.13";"893";"26.55";"68.18";"373.6";"243.9389";"3809.3";"6542.97"
"E";"2019-12-29";"237.3758";"97.31";"-0.08";"893";"26.58";"66.76";"258.6";"243.9349";"3809.24";"6542.88"
"E";"2019-12-28";"237.5766";"97.39";"-0.06";"893";"26.6";"86.93";"240.2";"243.9349";"3809.24";"6542.88"
"E";"2019-12-27";"237.7333";"97.46";"-0.05";"893";"26.62";"43.24";"161.6";"243.9349";"3809.24";"6542.88"
"E";"2019-12-26";"237.8439";"97.5";"0.04";"893";"26.63";"196.07";"97.3";"243.9349";"3809.24";"6542.88"
"E";"2019-12-25";"237.7478";"97.46";"0.05";"893";"26.62";"204.08";"86";"243.9349";"3809.24";"6542.88"
"E";"2019-12-24";"237.6317";"97.42";"0.04";"893";"26.61";"202";"93.8";"243.9349";"3809.24";"6542.88"
"E";"2019-12-23";"237.5367";"97.38";"0.01";"893";"26.6";"134.52";"97.4";"243.9349";"3809.24";"6542.88"
"E";"2019-12-22";"237.5062";"97.36";"0.04";"893";"26.6";"204.57";"112.1";"243.9369";"3809.27";"6542.92"
"E";"2019-12-21";"237.4157";"97.33";"0.05";"893";"26.59";"222.84";"111.3";"243.9369";"3809.27";"6542.92"
"E";"2019-12-20";"237.3051";"97.28";"0";"893";"26.57";"108.38";"115.3";"243.9369";"3809.27";"6542.92"
"E";"2019-12-19";"237.3127";"97.28";"0";"893";"26.57";"159.53";"146.8";"243.9369";"3809.27";"6542.92"
"E";"2019-12-18";"237.3029";"97.28";"-0.09";"893";"26.57";"44.65";"257.3";"243.9369";"3809.27";"6542.92"
"E";"2019-12-17";"237.526";"97.37";"-0.05";"893";"26.6";"145.67";"280.2";"243.9369";"3809.27";"6542.92"
"E";"2019-12-16";"237.6583";"97.43";"-0.07";"893";"26.61";"107.67";"256.7";"243.9339";"3809.27";"6542.92"
"E";"2019-12-15";"237.8228";"97.5";"0.04";"893";"26.63";"255.59";"143.9";"243.9319";"3809.24";"6542.88"
"E";"2019-12-14";"237.7174";"97.45";"-0.01";"893";"26.62";"151.19";"156.7";"243.9319";"3809.24";"6542.88"
"E";"2019-12-13";"237.7328";"97.46";"-0.16";"893";"26.62";"61.64";"429.5";"243.9319";"3809.24";"6542.88"
"E";"2019-12-12";"238.1245";"97.62";"-0.15";"893";"26.67";"74.84";"426.5";"243.9319";"3809.24";"6542.88"
"E";"2019-12-11";"238.4986";"97.77";"-0.2";"893";"26.71";"40.74";"513.7";"243.9319";"3809.24";"6542.88"
"E";"2019-12-10";"238.9791";"97.97";"-0.17";"893";"26.76";"44.38";"451.1";"243.9319";"3809.24";"6542.88"
"E";"2019-12-09";"239.3964";"98.14";"-0.05";"893";"26.81";"79.82";"198.9";"243.9319";"3809.24";"6542.88"
"E";"2019-12-08";"239.5229";"98.19";"0.14";"893";"26.82";"432.35";"96.7";"243.9398";"3809.36";"6543.06"
"E";"2019-12-07";"239.1913";"98.05";"0.07";"893";"26.79";"286.97";"105";"243.9398";"3809.36";"6543.06"
"E";"2019-12-06";"239.0168";"97.98";"-0.17";"893";"26.77";"53.83";"461.3";"243.9398";"3809.36";"6543.06"
"E";"2019-12-05";"239.4367";"98.15";"-0.16";"893";"26.81";"40.97";"432.7";"243.9398";"3809.36";"6543.06"
"E";"2019-12-04";"239.838";"98.32";"-0.08";"893";"26.86";"32.66";"213.9";"243.9398";"3809.36";"6543.06"
"E";"2019-12-03";"240.0234";"98.39";"-0.04";"893";"26.88";"129.46";"202.4";"243.9398";"3809.36";"6543.06"
"E";"2019-12-02";"240.1112";"98.43";"-0.13";"893";"26.89";"27.18";"332.1";"243.9398";"3809.36";"6543.06"
"E";"2019-12-01";"240.4248";"98.55";"-0.14";"893";"26.92";"39.38";"365.8";"243.9516";"3809.54";"6543.32"
"E";"2019-11-30";"240.7601";"98.69";"-0.1";"893";"26.96";"23.26";"260.8";"243.9516";"3809.54";"6532.52"
"E";"2019-11-29";"241.0025";"98.79";"-0.01";"893";"26.99";"50.58";"75.1";"243.9516";"3809.54";"6532.52"
"E";"2019-11-28";"241.0334";"98.8";"0.06";"893";"26.99";"149.34";"11.8";"243.9516";"3809.54";"6532.52"
"E";"2019-11-27";"240.8962";"98.75";"0.08";"893";"26.98";"201.78";"16.2";"243.9516";"3809.54";"6532.52"
"E";"2019-11-26";"240.7131";"98.67";"-0.03";"893";"26.96";"61.64";"125.9";"243.9516";"3809.54";"6532.52"
"E";"2019-11-25";"240.7812";"98.7";"-0.08";"893";"26.96";"24.83";"207.5";"243.9516";"3809.54";"6532.52"
"E";"2019-11-24";"240.9681";"98.77";"0.06";"893";"26.98";"166.26";"13.8";"243.9654";"3809.75";"6532.83"
"E";"2019-11-23";"240.8184";"98.71";"0.08";"893";"26.97";"217.8";"24.7";"243.9654";"3809.75";"6532.83"
"E";"2019-11-22";"240.6274";"98.63";"-0.05";"893";"26.95";"59.87";"167.9";"243.9654";"3809.75";"6532.83"
"E";"2019-11-21";"240.7391";"98.68";"-0.23";"893";"26.96";"7.42";"580.2";"243.9654";"3809.75";"6532.83"
"E";"2019-11-20";"241.312";"98.91";"-0.19";"893";"27.02";"6.1";"479.4";"243.9654";"3809.75";"6532.83"
"E";"2019-11-19";"241.7816";"99.1";"-0.1";"893";"27.08";"1.23";"245.3";"243.9654";"3809.75";"6532.83"
"E";"2019-11-18";"242.0245";"99.2";"-0.03";"893";"27.1";"9.67";"91.8";"243.9654";"3809.75";"6532.83"
"E";"2019-11-17";"242.1066";"99.25";"0.01";"893";"27.11";"74.54";"38.4";"243.9457";"3809.45";"6532.39"
"E";"2019-11-16";"242.0705";"99.23";"0.02";"893";"27.11";"89.17";"38.4";"243.9457";"3809.45";"6532.39"
"E";"2019-11-15";"242.0198";"99.21";"-0.05";"893";"27.1";"37.12";"152";"243.9457";"3809.45";"6532.39"
"E";"2019-11-14";"242.1387";"99.26";"-0.06";"893";"27.12";"22.11";"167.2";"243.9457";"3809.45";"6532.39"
"E";"2019-11-13";"242.2909";"99.32";"-0.13";"893";"27.13";"15.85";"327";"243.9457";"3809.45";"6532.39"
"E";"2019-11-12";"242.6157";"99.45";"-0.1";"893";"27.17";"15.19";"254.5";"243.9457";"3809.45";"6532.39"
"E";"2019-11-11";"242.855";"99.55";"-0.07";"893";"27.2";"20.74";"183.5";"243.9457";"3809.45";"6532.39"
"E";"2019-11-10";"243.0177";"99.61";"0.01";"893";"27.21";"68.87";"52.3";"243.9713";"3809.84";"6532.96"
"E";"2019-11-09";"243.0012";"99.6";"0.05";"893";"27.21";"166.72";"33.2";"243.9713";"3809.84";"6532.96"
"E";"2019-11-08";"242.8677";"99.55";"-0.01";"893";"27.2";"52.52";"71.6";"243.9713";"3809.84";"6532.96"
"E";"2019-11-07";"242.8879";"99.56";"0.06";"893";"27.2";"35.36";"80.5";"243.9713";"3809.84";"6532.96"
"E";"2019-11-06";"242.7497";"99.5";"-0.07";"893";"27.18";"47.7";"21.9";"243.9713";"3809.84";"6532.96"
"E";"2019-11-05";"242.9209";"99.57";"0";"893";"27.2";"55.4";"53.6";"243.9692";"3809.84";"6532.96"
"E";"2019-11-04";"242.916";"99.6";"0.06";"893";"27.2";"168.45";"12";"243.8848";"3809.84";"6532.96"
"E";"2019-11-03";"242.7612";"99.54";"0.16";"893";"27.18";"399.67";"7.4";"243.8848";"3809.84";"6532.96"
"E";"2019-11-02";"242.369";"99.38";"0.17";"893";"27.14";"410.25";"7.5";"243.8848";"3809.84";"6532.96"
"E";"2019-11-01";"241.9662";"99.21";"-0.04";"893";"27.1";"52.87";"141.4";"243.8848";"3809.84";"6532.96"
"E";"2019-10-31";"242.0555";"99.25";"-0.15";"893";"27.11";"31.52";"397";"243.8736";"3809.84";"6532.96"
"E";"2019-10-30";"242.421";"99.4";"-0.11";"893";"27.15";"24.34";"298.7";"243.8736";"3809.84";"6532.96"
"E";"2019-10-29";"242.6954";"99.52";"-0.05";"893";"27.18";"15.98";"141.1";"243.868";"3809.84";"6532.96"
"E";"2019-10-28";"242.8176";"99.59";"-0.02";"893";"27.19";"20.75";"69.5";"243.8118";"3809.84";"6532.96"
"E";"2019-10-27";"242.8592";"99.61";"0.09";"893";"27.2";"218.92";"1.5";"243.8039";"3809.72";"6532.79"
"E";"2019-10-26";"242.6413";"99.52";"0.15";"893";"27.17";"368.86";"2";"243.8039";"3931.03";"6735.07"
"E";"2019-10-25";"242.278";"99.38";"0.03";"893";"27.13";"113.32";"25.2";"243.7879";"3809.72";"6532.79"
"E";"2019-10-24";"242.1939";"99.35";"0.02";"893";"27.12";"47.21";"9.9";"243.7867";"3809.72";"6532.79"
"E";"2019-10-23";"242.1566";"99.33";"0";"893";"27.12";"41.86";"30.5";"243.7867";"3809.72";"6532.79"
"E";"2019-10-22";"242.1453";"99.33";"0";"893";"27.12";"28.26";"23.9";"243.7807";"3809.72";"6532.79"
"E";"2019-10-21";"242.1405";"99.33";"0.03";"893";"27.12";"82.84";"7.8";"243.7807";"3809.72";"6532.79"
"E";"2019-10-20";"242.0592";"99.3";"0.11";"893";"27.11";"282.74";"6.1";"243.761";"3809.63";"6532.65"
"E";"2019-10-19";"241.7826";"99.19";"0.09";"893";"27.08";"239.21";"5.4";"243.761";"3809.63";"6532.65"
"E";"2019-10-18";"241.555";"99.1";"0.01";"893";"27.05";"143.93";"112.5";"243.761";"3809.63";"6532.65"
"E";"2019-10-17";"241.5236";"99.08";"0.04";"893";"27.05";"106.43";"6.6";"243.7597";"3809.63";"6532.65"
"E";"2019-10-16";"241.4237";"99.07";"0.02";"893";"27.04";"70.13";"23.3";"243.6844";"3809.63";"6532.65"
"E";"2019-10-15";"241.3734";"99.05";"0.05";"893";"27.03";"146.11";"23.6";"243.6844";"3809.63";"6532.65"
"E";"2019-10-14";"241.2463";"99";"0.07";"893";"27.02";"149.42";"9.4";"243.6818";"3809.63";"6532.65"
"E";"2019-10-13";"241.0754";"98.92";"0.17";"893";"27";"428.26";"3.2";"243.7014";"3809.93";"6533.1"
"E";"2019-10-12";"240.6639";"98.75";"0.11";"893";"26.95";"349.45";"62.1";"243.7014";"3809.93";"6533.1"
"E";"2019-10-11";"240.3975";"98.64";"0.01";"893";"26.92";"142.61";"91.6";"243.7014";"3809.93";"6533.1"
"E";"2019-10-10";"240.376";"98.64";"0.06";"893";"26.92";"191.14";"51.6";"243.6998";"3809.93";"6533.1"
"E";"2019-10-09";"240.2389";"98.63";"0.01";"893";"26.9";"76.72";"81.1";"243.5804";"3809.93";"6533.1"
"E";"2019-10-08";"240.2196";"98.62";"0";"893";"26.9";"73.09";"71.3";"243.5755";"3809.93";"6533.1"
"E";"2019-10-07";"240.2078";"98.62";"0.01";"893";"26.9";"83.28";"54.5";"243.5663";"3809.93";"6533.1"
"E";"2019-10-06";"240.1791";"98.61";"0.09";"893";"26.9";"238.27";"19.3";"243.5603";"3809.99";"6533.19"
"E";"2019-10-05";"239.9488";"98.52";"0.09";"893";"26.87";"216.39";"17.4";"243.5603";"3809.99";"6533.19"
"E";"2019-10-04";"239.7385";"98.43";"0.01";"893";"26.85";"96.91";"73.3";"243.5603";"3809.99";"6533.19"
"E";"2019-10-03";"239.7094";"98.44";"0.05";"893";"26.84";"131.72";"16.3";"243.504";"3809.99";"6533.19"
"E";"2019-10-02";"239.5889";"98.39";"0.09";"893";"26.83";"223.95";"9.5";"243.504";"3809.99";"6533.19"
"E";"2019-10-01";"239.3695";"98.32";"0.1";"893";"26.81";"277.15";"28.2";"243.4479";"3809.99";"6533.19"
"E";"2019-09-30";"239.1189";"97.97";"0.14";"893";"26.78";"331.38";"4";"244.0622";"3809.99";"6533.19"
"E";"2019-09-29";"238.7885";"97.87";"0.22";"893";"26.74";"553.46";"10";"243.9766";"3808.75";"6531.37"
"E";"2019-09-28";"238.2433";"97.65";"0.19";"893";"26.68";"467.37";"2.7";"243.9766";"3808.75";"6531.37"
"E";"2019-09-27";"237.7756";"97.46";"0.1";"893";"26.63";"241.36";"13.3";"243.9766";"3808.75";"6531.37"
"E";"2019-09-26";"237.5377";"97.37";"0.03";"893";"26.6";"148.85";"70.2";"243.9495";"3808.75";"6531.37"
"E";"2019-09-25";"237.4558";"97.34";"-0.03";"893";"26.59";"135.91";"216.4";"243.9495";"3808.75";"6531.37"
