,Date,Industrial_prod
3914,2018-01-17,106.6934
3915,2018-01-18,106.6934
3916,2018-01-19,106.6934
3917,2018-01-20,106.6934
3918,2018-01-21,106.6934
3919,2018-01-22,106.6934
3920,2018-01-23,106.6934
3921,2018-01-24,106.6934
3922,2018-01-25,106.6934
3923,2018-01-26,106.6934
3924,2018-01-27,106.6934
3925,2018-01-28,106.6934
3926,2018-01-29,106.6934
3927,2018-01-30,106.6934
3928,2018-01-31,106.6934
3929,2018-02-01,104.4873
3930,2018-02-02,104.4873
3931,2018-02-03,104.4873
3932,2018-02-04,104.4873
3933,2018-02-05,104.4873
3934,2018-02-06,104.4873
3935,2018-02-07,104.4873
3936,2018-02-08,104.4873
3937,2018-02-09,104.4873
3938,2018-02-10,104.4873
3939,2018-02-11,104.4873
3940,2018-02-12,104.4873
3941,2018-02-13,104.4873
3942,2018-02-14,104.4873
3943,2018-02-15,104.4873
3944,2018-02-16,104.4873
3945,2018-02-17,104.4873
3946,2018-02-18,104.4873
3947,2018-02-19,104.4873
3948,2018-02-20,104.4873
3949,2018-02-21,104.4873
3950,2018-02-22,104.4873
3951,2018-02-23,104.4873
3952,2018-02-24,104.4873
3953,2018-02-25,104.4873
3954,2018-02-26,104.4873
3955,2018-02-27,104.4873
3956,2018-02-28,104.4873
3957,2018-03-01,106.0918
3958,2018-03-02,106.0918
3959,2018-03-03,106.0918
3960,2018-03-04,106.0918
3961,2018-03-05,106.0918
3962,2018-03-06,106.0918
3963,2018-03-07,106.0918
3964,2018-03-08,106.0918
3965,2018-03-09,106.0918
3966,2018-03-10,106.0918
3967,2018-03-11,106.0918
3968,2018-03-12,106.0918
3969,2018-03-13,106.0918
3970,2018-03-14,106.0918
3971,2018-03-15,106.0918
3972,2018-03-16,106.0918
3973,2018-03-17,106.0918
3974,2018-03-18,106.0918
3975,2018-03-19,106.0918
3976,2018-03-20,106.0918
3977,2018-03-21,106.0918
3978,2018-03-22,106.0918
3979,2018-03-23,106.0918
3980,2018-03-24,106.0918
3981,2018-03-25,106.0918
3982,2018-03-26,106.0918
3983,2018-03-27,106.0918
3984,2018-03-28,106.0918
3985,2018-03-29,106.0918
3986,2018-03-30,106.0918
3987,2018-03-31,106.0918
3988,2018-04-01,105.6907
3989,2018-04-02,105.6907
3990,2018-04-03,105.6907
3991,2018-04-04,105.6907
3992,2018-04-05,105.6907
3993,2018-04-06,105.6907
3994,2018-04-07,105.6907
3995,2018-04-08,105.6907
3996,2018-04-09,105.6907
3997,2018-04-10,105.6907
3998,2018-04-11,105.6907
3999,2018-04-12,105.6907
4000,2018-04-13,105.6907
4001,2018-04-14,105.6907
4002,2018-04-15,105.6907
4003,2018-04-16,105.6907
4004,2018-04-17,105.6907
4005,2018-04-18,105.6907
4006,2018-04-19,105.6907
4007,2018-04-20,105.6907
4008,2018-04-21,105.6907
4009,2018-04-22,105.6907
4010,2018-04-23,105.6907
4011,2018-04-24,105.6907
4012,2018-04-25,105.6907
4013,2018-04-26,105.6907
4014,2018-04-27,105.6907
4015,2018-04-28,105.6907
4016,2018-04-29,105.6907
4017,2018-04-30,105.6907
4018,2018-05-01,107.2951
4019,2018-05-02,107.2951
4020,2018-05-03,107.2951
4021,2018-05-04,107.2951
4022,2018-05-05,107.2951
4023,2018-05-06,107.2951
4024,2018-05-07,107.2951
4025,2018-05-08,107.2951
4026,2018-05-09,107.2951
4027,2018-05-10,107.2951
4028,2018-05-11,107.2951
4029,2018-05-12,107.2951
4030,2018-05-13,107.2951
4031,2018-05-14,107.2951
4032,2018-05-15,107.2951
4033,2018-05-16,107.2951
4034,2018-05-17,107.2951
4035,2018-05-18,107.2951
4036,2018-05-19,107.2951
4037,2018-05-20,107.2951
4038,2018-05-21,107.2951
4039,2018-05-22,107.2951
4040,2018-05-23,107.2951
4041,2018-05-24,107.2951
4042,2018-05-25,107.2951
4043,2018-05-26,107.2951
4044,2018-05-27,107.2951
4045,2018-05-28,107.2951
4046,2018-05-29,107.2951
4047,2018-05-30,107.2951
4048,2018-05-31,107.2951
4049,2018-06-01,106.894
4050,2018-06-02,106.894
4051,2018-06-03,106.894
4052,2018-06-04,106.894
4053,2018-06-05,106.894
4054,2018-06-06,106.894
4055,2018-06-07,106.894
4056,2018-06-08,106.894
4057,2018-06-09,106.894
4058,2018-06-10,106.894
4059,2018-06-11,106.894
4060,2018-06-12,106.894
4061,2018-06-13,106.894
4062,2018-06-14,106.894
4063,2018-06-15,106.894
4064,2018-06-16,106.894
4065,2018-06-17,106.894
4066,2018-06-18,106.894
4067,2018-06-19,106.894
4068,2018-06-20,106.894
4069,2018-06-21,106.894
4070,2018-06-22,106.894
4071,2018-06-23,106.894
4072,2018-06-24,106.894
4073,2018-06-25,106.894
4074,2018-06-26,106.894
4075,2018-06-27,106.894
4076,2018-06-28,106.894
4077,2018-06-29,106.894
4078,2018-06-30,106.894
4079,2018-07-01,104.7882
4080,2018-07-02,104.7882
4081,2018-07-03,104.7882
4082,2018-07-04,104.7882
4083,2018-07-05,104.7882
4084,2018-07-06,104.7882
4085,2018-07-07,104.7882
4086,2018-07-08,104.7882
4087,2018-07-09,104.7882
4088,2018-07-10,104.7882
4089,2018-07-11,104.7882
4090,2018-07-12,104.7882
4091,2018-07-13,104.7882
4092,2018-07-14,104.7882
4093,2018-07-15,104.7882
4094,2018-07-16,104.7882
4095,2018-07-17,104.7882
4096,2018-07-18,104.7882
4097,2018-07-19,104.7882
4098,2018-07-20,104.7882
4099,2018-07-21,104.7882
4100,2018-07-22,104.7882
4101,2018-07-23,104.7882
4102,2018-07-24,104.7882
4103,2018-07-25,104.7882
4104,2018-07-26,104.7882
4105,2018-07-27,104.7882
4106,2018-07-28,104.7882
4107,2018-07-29,104.7882
4108,2018-07-30,104.7882
4109,2018-07-31,104.7882
4110,2018-08-01,105.7909
4111,2018-08-02,105.7909
4112,2018-08-03,105.7909
4113,2018-08-04,105.7909
4114,2018-08-05,105.7909
4115,2018-08-06,105.7909
4116,2018-08-07,105.7909
